NOMEASSOCIAZIONE,INDIRIZZO,CAP,CITTA,PROV,ANNO COSTITUZIONE,ATTIVITA
ASSOCIAZIONE LE FARNIE, VIA PRATI 1,40062,MOLINELLA,(BO),2007,FINALITA SOLIDARISTICHE CULTURALI SOCIALI DI EDUCAZIONE AL RISPETTO DELL AMBIENTE
ASSOCIAZIONE NAZIONALE ALPINI, PIAZZA ANSELMO MARTONI 1,40062,MOLINELLA,(BO),1923,PROTEZIONE CIVILE ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE DEL PATRIMONIO AMBIENTALE
ASSOCIAZIONE NAZIONALE BERSAGLIERI PEZZOLI, PIAZZA ANSELMO MARTONI 1,40062,MOLINELLA,(BO),1983,TUTELA E PROMOZIONE DEI DIRITTI ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE
ASSOCIAZIONE VOLONTARIA IL PARCO DEI PIOPPI, STRADELLO GUARDA 2-4,40062,MOLINELLA,(BO),1996,SOCIO/ASSISTENZIALE - ATTIVITA CULTURALI E DI  TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE
ASSOCIZIONE VOLONTARI PROTEZIONE CIVILE MOLINELLA, VIA MURRI 1,40062,MOLINELLA,(BO),1996,PROTEZIONE CIVILE
A.V.I.S. MOLINELLA, VIA MURRI 1,40062,MOLINELLA,(BO),1958,SANITARIO - SOCIO/ ASSISTENZIALI
BELLAVISTA ASD/APS, VIA ANNA FRANK 18,40062,MOLINELLA,(BO),2012,SOCIO/ASSISTENZIALI ATIVITA EDUCATIVE
COMITATO GENITORI, VIA DE AMICIS 1,40062,MOLINELLA,(BO),2017,PROMOZIONE PROGETTI FORMATIVI PER GLI ALLIEVI DELL ISTITUTO COMPRENSIVO
CROCE ROSSA ITALIANA, VIA MURRI 1,40062,MOLINELLA,(BO),2014,SANITARIO - SOCIO/ ASSISTENZIALI
DICORE, VIA I MAGGIO 2,40062,MOLINELLA,(BO),2015,SOCIO/ ASSISTENZIALI
DONNE DI PIANURA, VIA SPINA 11,40062,MOLINELLA,(BO),2005,TUTELA E PROMOZIONE DEI DIRITTI - SPORT CULTURA E TURISMO
FLY GANG PROTEZIONE CIVILE, VIA MADONNA BOTTARDA 1,40062,MOLINELLA,(BO),2008,ATTIVITA DI PROTEZIONE CIVILE E CONTROLLO AEREO DEL TERRITORIO  SPORT CULTURA E TURISMO
FONDAZIONE AIUTIAMOLI A VIVERE COMITATO DI MOLINELLA, VIA BENTIVOGLI 80,40062,MOLINELLA,(BO),2000,SANITARIO - SOCIO/ ASSISTENZIALI
GLI AMICI DI SAMUELE, VIA PROVINCIALE SUPERIORE 30/4,40062,MOLINELLA,(BO),2013,SOCIO/ ASSISTENZIALI
GROUND VIBES, VIA CARREGGIATA 94/3,40062,MOLINELLA,(BO),2014,ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE
IL COLLARE BLU, VIA PEDRELLI 2/2,40062,MOLINELLA,(BO),2004,ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE TUTELA E PROMOZIONE DEI DIRITTI
LIONS CLUB MOLINELLA, VIA MAZZINI 129,40062,MOLINELLA,(BO),1965,SOCIO/ASSISTENZIALE - TUTELA E PROMOZIONE DEI DIRITTI
OPERE DI MISERICORDIA, VIA PROVINCIALE CIRCONVALLAZIONE 47,40062,MOLINELLA,(BO),2009,SOCIO/ASSISTENZIALE - TUTELA E PROMOZIONE DEI DIRITTI
ORATORIO SAN MATTEO A.N.S.P.I., VIA BENTIVOGLI 1,40062,MOLINELLA,(BO),2007,AZIONE EDUCATIVA E PASTORALE
ORGANIZZIA MOLI, VIA DON PRIMO ANGELINI 55,40062,MOLINELLA,(BO),2013,SOCIO/ ASSISTENZIALI - ATTIVITA CULTURALI E DI TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE
PUBBLICA ASSISTENZA CITTA DI MOLINELLA, VIA MURRI 3,40062,MOLINELLA,(BO),2002,SANITARIO - SOCIO/ ASSISTENZIALI
UNA MANO PER LA VITA, VIA MAZZINI 7,40062,MOLINELLA,(BO),2003,SOCIO/ASSISTENZIALE - TUTELA E PROMOZIONE DEI DIRITTI
VIGILI DEL FUOCO VOLONTARI MOLINELLA FRIENDS, VIA MAZZINI 381,40062,MOLINELLA,(BO),2014,TUTELA E VALORIZZAZIONE PATRIMONIO AMBIENTALE - PROTEZIONE CIVILE
